ID,IMDB_ID,Budget,Production Companies,Production Countries,Revenue,Runtime,Director
997668,tt21230118,0,[],[],0,90,André Schäfer
997669,tt7175968,0,"['2-Team Productions', 'Film Produkcja']","['Israel', 'Poland']",0,96,Leon Prudovsky
997677,tt21230182,0,[],['Switzerland'],0,85,Caterina Mona
997681,tt22089982,0,"['Extimacy Films', 'Studio Uljana Kim', 'Faliro House Productions']","['Greece', 'Lithuania']",0,89,Mantas Kvedaravičius
997688,tt18330292,300000,[],['United Kingdom'],0,80,Tas Brooker
997693,,0,[],[],0,60,Parker Sargent
997695,,0,['Bushiroad'],['Japan'],0,268,
997696,,0,['Bushiroad'],['Japan'],0,331,
997703,tt21195548,0,['bildundtonfabrik'],['Germany'],0,94,Arne Feldhusen
997799,,0,[],[],0,0,Iuri Salles
997800,tt17545250,1,['Lazlos Films'],[],0,9,Lachlan Anderson-Schmidt
997805,tt8996420,0,['Beija Flor Filmes'],['Brazil'],0,15,Gil Baroni
997812,tt20414932,74000,['Allbiz'],['St. Lucia'],0,118,Guillaume Rico
997813,,0,['RTVS'],['Slovakia'],0,0,Ingrid Druhá
997815,,0,[],[],0,0,Cristine de Bem e Canto
997816,,1500,"['Tellart Films', 'F. F Cinematografia']",[],0,0,Guilherme G. Pacheco
997819,,0,[],[],0,0,Sissi Betina Venturin
997820,,0,"['Fehorama Filmes', 'Barafunda']",[],0,0,Giordano Gio
997822,,0,[],[],0,0,JP Siliprandi
997823,,0,[],[],0,0,Valentina Ritter Hickmann
997825,,0,[],[],0,0,Gerson Karaí Gomes
997826,,0,[],[],0,0,Marcos Contreras
997827,,0,[],[],0,0,Lucas Furtado
997837,tt23033318,1146000,"['Fool Moon', 'RTVS', '13ka', 'PFX']","['Czech Republic', 'Slovakia']",0,0,Katarína Kerekesová
997849,,0,[],[],0,0,
997853,,0,[],[],0,0,
997874,tt21105864,0,['Olhar de Ulisses'],['Portugal'],0,13,André Guiomar
997887,tt15338648,0,[],[],0,90,Kelton Jones
997891,,0,[],['Israel'],0,67,Sari Ofek
997892,tt21933142,0,['Treehouse Mafia Productions'],"['Mexico', 'United States of America']",0,103,Brian Schmidt
997897,,0,[],[],0,0,
997909,,0,[],[],0,0,
997912,,0,[],[],0,0,
997924,,0,[],[],0,0,
997926,,0,[],[],0,0,
997931,,0,['BBC Music'],['United Kingdom'],0,71,
997935,,0,[],[],0,0,
997958,tt18351272,0,"['Escola Superior de Media, Artes e Design']",['Portugal'],0,6,Aurora Fernandes
997959,,0,[],['Portugal'],0,15,Mafalda Amorim
997960,,0,"['Universidade Lusófona', 'Lusófona Filmes']",['Portugal'],0,5,Diogo Palma
997961,,0,[],[],0,0,Miguel Ariza
997963,,0,[],['Portugal'],0,18,Mia Nel
997966,,0,['Escola Superior Artística do Porto'],['Portugal'],0,10,Raquel Medeiros
997967,,0,[],[],0,9,Joana Mafalda Gomes
997971,,0,['Escola Artística Soares dos Reis'],['Portugal'],0,10,Carolina Pinto
997975,tt19395946,0,['Comedy Central'],['United States of America'],0,34,
997976,tt9431072,0,[],['Portugal'],0,67,Acácio de Almeida
997977,tt21208932,1000,[],[],0,4,Alister Malcolm
997978,tt22303580,0,[],"['France', 'Switzerland']",0,255,Sylvain George
997981,tt23545940,0,[],[],0,96,Kaspar Kasics
997982,,0,['Original Theatre Company'],['United Kingdom'],0,80,Alan Strachan
997989,tt14618312,0,"['Kundschafter Filmproduktion', 'Canal+ Polska', 'SWR']","['Germany', 'Poland']",0,86,Piotr Rosołowski
997990,,0,[],['Switzerland'],0,61,Jan Baumgartner
997995,tt9428638,0,[],[],0,90,Susanna della Sala
997996,tt21870640,0,"['Les Films Hatari', 'Indigo Mood Films', 'l’atelier documentaire', 'ma.ja.de. FilmProduktions', 'Diam Production', 'La Maison des Cineastes']","['France', 'Germany', 'Senegal']",0,105,Alassane Diago
998000,tt21797282,0,[],['Greece'],0,17,Thanasis Neofotistos
998007,tt21272582,0,[],['France'],0,107,Anton Balekdjian
998009,,0,[],[],0,58,Marie Voignier
998019,,0,['BBC Music'],['United Kingdom'],0,56,
